Headword,Entry No.,No.,Syllabary,Stem,Practical,Simple phonetics,Tone and length 1,Tone and length 2,Part of speech,Grammar sub entry,Grammar note,Translation 1A,Translation 1B,Translation 1C,Translation 1D,Translation 1E,Translation 1F,Translation 1G,Translation 1H,Translation 1 sub entry,Translation 2A,Translation 2B,Translation 2C,Translation 2D,Translation 2 sub entry,Translation 3A,Translation 3B,Translation 3C,Translation 3D,Translation 3 sub entry,English gloss 1,English gloss 2,English gloss 3,English gloss 4,Compare 1,Compare 2,Compare 3,Word audio,Sentence 1 audio,Sentence-1 SYLL,Sentence-1 PHON,Sentence-1 ENGL,Sentence 2 audio,Sentence-2 SYLL,Sentence-2 PHON,Sentence-2 ENGL,Sentence 3 audio,Sentence-3 SYLL,Sentence-3 PHON,Sentence-3 ENGL,Source of sentence 1,Source of sentence 2,Source of sentence 3,Speaker of sentence 1,Speaker of sentence 2,Speaker of sentence 3,Notes on speaker of sentence 1,Notes on speaker of sentence 2,Notes on speaker of sentence 3,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏘᏯᎴᏓ,595.6,595,ᏘᏯᎴᏓ,,tiyaleda,ti-ya-le-da,tiyạ́lèda,ti:yálè:da,verb (v.t.),imperative with animate direct objects,,help him/her up!,,,,,,,,,,,,,,,,,,,help up,stand upright,,,àlẹhdị́ha,,,,Sentence_for_entry_0595.m4a,ᎤᏄᎸᎲᏍᎨᏍᏗ ᏧᎴᏗ *ᏕᎯᏯᎴᏔᏅᎢ.*,u:nu:lv́:hvsge̋:sd ju:lehdí *de:hí:yalè:tanv́:’i*,If he can’t get up‚ *help him up.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏔᎴᏓ,595.7,595,ᏔᎴᏓ,,talehda,ta-le-da,talẹ́hda,ta:léhda,verb (v.t.),imperative with animate/ inanimate direct objects,,help it up!,,,,,,,,,stand it up!,,,,refers to an object with legs e.g. folding table,,,,,,help up,stand upright,,,àlẹhdị́ha,,,,Sentence_for_entry_0595.m4a,ᎤᏄᎸᎲᏍᎨᏍᏗ ᏧᎴᏗ *ᏕᎯᏯᎴᏔᏅᎢ.*,u:nu:lv́:hvsge̋:sd ju:lehdí *de:hí:yalè:tanv́:’i*,If he can’t get up‚ *help him up.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏧᎴᏙᏗ,595.8,595,ᏧᎴᏙᏗ,,julehdohdi,tsu-le-do-di,julẹhdọ́hdi,ju:lehdóhdi,verb (v.t.),3rd person singular infinitive,,to help someone up,,,,,,,,,to stand something up,,,,refers to an object with legs e.g. folding table,,,,,,help up,stand upright,,,àlẹhdị́ha,,,,Sentence_for_entry_0595.m4a,ᎤᏄᎸᎲᏍᎨᏍᏗ ᏧᎴᏗ *ᏕᎯᏯᎴᏔᏅᎢ.*,u:nu:lv́:hvsge̋:sd ju:lehdí *de:hí:yalè:tanv́:’i*,If he can’t get up‚ *help him up.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏓᎴᎯᏏᎭ,596.1,596,ᏓᎴᎯᏏᎭ,,dalehisiha,da-le-hi-si-ha,dàlehǐsị́ha,dà:le:hǐ:síha,verb (v.i.),3rd person singular,,he/she is recuperating,,,,,,,,,,,,,,,,,,,recuperate,,,,dàlehṿ́sga,,,Word_0596.1.m4a,Sentence_for_entry_0596.m4a,ᏧᏂᏢᎩ ᏩᏯᎥ *ᏓᎴᎯᏏᎭ.*,ju:ni:dlv̀:gi̋ wà:yá’â *dà:le:hi:síha*,*He’s recuperating* in a hospital.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏕᎦᎴᎢᏏᎭ,596.2,596,ᏕᎦᎴᎢᏏᎭ,,degale’isiha,de-ga-le-i-si-ha,degạ́lẹ’ǐsị́ha,de:gále’ǐ:síha,verb (v.i.),1st person singular with animate/ inanimate object,,I’m recuperating,,,,,,,,,,,,,,,,,,,recuperate,,,,dàlehṿ́sga,,,,Sentence_for_entry_0596.m4a,ᏧᏂᏢᎩ ᏩᏯᎥ *ᏓᎴᎯᏏᎭ.*,ju:ni:dlv̀:gi̋ wà:yá’â *dà:le:hi:síha*,*He’s recuperating* in a hospital.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏚᎴᎯᏌᏅᎢ,596.3,596,ᏚᎴᎯᏌᏅᎢ,,dulehisahnv’i,du-le-hi-sa-nv-i,dùlehǐsạ́hnv̌’i,dù:le:hǐ:sáhnv̌:’i,verb (v.i.),3rd person singular non-progressive remote past tense,,he/she recuperated,,,,,,,,,,,,,,,,,,,recuperate,,,,dàlehṿ́sga,,,,Sentence_for_entry_0596.m4a,ᏧᏂᏢᎩ ᏩᏯᎥ *ᏓᎴᎯᏏᎭ.*,ju:ni:dlv̀:gi̋ wà:yá’â *dà:le:hi:síha*,*He’s recuperating* in a hospital.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏓᎴᎯᏏᏍᎪᎢ,596.4,596,ᏓᎴᎯᏏᏍᎪᎢ,,dalehisisgo’i,da-le-hi-si-s-go-i,dàlehǐsísgó’i,dà:le:hǐ:sí:sgó:’i,verb (v.i.),3rd person singular present habitual,,he/she recuperates,,,,,,,,,,,,,,,,,,,recuperate,,,,dàlehṿ́sga,,,,Sentence_for_entry_0596.m4a,ᏧᏂᏢᎩ ᏩᏯᎥ *ᏓᎴᎯᏏᎭ.*,ju:ni:dlv̀:gi̋ wà:yá’â *dà:le:hi:síha*,*He’s recuperating* in a hospital.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏔᎴᎯᏌ,596.5,596,ᏔᎴᎯᏌ,,talehisa,ta-le-hi-sa,tạléhisa,talé:hi:sa,verb (v.i.),imperative with animate/ inanimate direct objects,,recuperate!,,,,,,,,,,,,,,,,,,,recuperate,,,,dàlehṿ́sga,,,,Sentence_for_entry_0596.m4a,ᏧᏂᏢᎩ ᏩᏯᎥ *ᏓᎴᎯᏏᎭ.*,ju:ni:dlv̀:gi̋ wà:yá’â *dà:le:hi:síha*,*He’s recuperating* in a hospital.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏧᎴᎯᏐᏗ,596.6,596,ᏧᎴᎯᏐᏗ,,julehisohdi,tsu-le-hi-so-di,julehǐsọ́hdi,ju:le:hǐ:sóhdi,verb (v.i.),3rd person singular infinitive,,to recuperate,,,,,,,,,,,,,,,,,,,recuperate,,,,dàlehṿ́sga,,,,Sentence_for_entry_0596.m4a,ᏧᏂᏢᎩ ᏩᏯᎥ *ᏓᎴᎯᏏᎭ.*,ju:ni:dlv̀:gi̋ wà:yá’â *dà:le:hi:síha*,*He’s recuperating* in a hospital.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏓᎴᎲᏍᎦ,597.1,597,ᏓᎴᎲᏍᎦ,,dalehvsga,da-le-hv-s-ga,dàlehṿ́sga,dà:le:hv́sga,verb (v.i.),3rd person singular,,he/she is getting up,,,,,,,,from sitting or from involuntarily assumed prone position,,,,,,,,,,,get up,,,,àdidị́ha,àlehṿ́sga,,,Sentence_for_entry_0597.m4a,*ᏗᏣᎴᎲᎦ* ᎦᏛᏅ ᏂᎦᏓ *ᏕᏣᎴᏅᎢ.*,*dì:jalé:hv:ga* gadv̀:nv̋ niga̋:da *dé:jale:hnv:’i*,When I say *stand up*‚ everyone *stand up.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏕᎦᎴᎥᏍᎦ,597.2,597,ᏕᎦᎴᎥᏍᎦ,,degale’vsga,de-ga-le-v-s-ga,degạ́lẹ’ṿ́sga,de:gále’v́sga,verb (v.i.),1st person singular with animate/ inanimate object,,I’m getting up,,,,,,,,from sitting or from involuntarily assumed prone position,,,,,,,,,,,get up,,,,àdidị́ha,àlehṿ́sga,,,Sentence_for_entry_0597.m4a,*ᏗᏣᎴᎲᎦ* ᎦᏛᏅ ᏂᎦᏓ *ᏕᏣᎴᏅᎢ.*,*dì:jalé:hv:ga* gadv̀:nv̋ niga̋:da *dé:jale:hnv:’i*,When I say *stand up*‚ everyone *stand up.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏚᎴᏅᎢ,597.3,597,ᏚᎴᏅᎢ,,dulehnv’i,du-le-nv-i,dùlehnv̌’i,dù:le:hnv̌:’i,verb (v.i.),3rd person singular non-progressive remote past tense,,he/she got up,,,,,,,,from sitting or from involuntarily assumed prone position,,,,,,,,,,,get up,,,,àdidị́ha,àlehṿ́sga,,,Sentence_for_entry_0597.m4a,*ᏗᏣᎴᎲᎦ* ᎦᏛᏅ ᏂᎦᏓ *ᏕᏣᎴᏅᎢ.*,*dì:jalé:hv:ga* gadv̀:nv̋ niga̋:da *dé:jale:hnv:’i*,When I say *stand up*‚ everyone *stand up.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏓᎴᎲᏍᎪᎢ,597.4,597,ᏓᎴᎲᏍᎪᎢ,,dalehvsgo’i,da-le-hv-s-go-i,dàlehṿsgó’i,dà:le:hvsgó:’i,verb (v.i.),3rd person singular present habitual,,he/she gets up,,,,,,,,from sitting or from involuntarily assumed prone position,,,,,,,,,,,get up,,,,àdidị́ha,àlehṿ́sga,,,Sentence_for_entry_0597.m4a,*ᏗᏣᎴᎲᎦ* ᎦᏛᏅ ᏂᎦᏓ *ᏕᏣᎴᏅᎢ.*,*dì:jalé:hv:ga* gadv̀:nv̋ niga̋:da *dé:jale:hnv:’i*,When I say *stand up*‚ everyone *stand up.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏔᎴᎲᎦ,597.5,597,ᏔᎴᎲᎦ,,talehvga,ta-le-hv-ga,tạléhv̀ga,talé:hv̀:ga,verb (v.i.),imperative with animate/ inanimate direct objects,,get up!,,,,,,,,from sitting or from involuntarily assumed prone position,,,,,,,,,,,get up,,,,àdidị́ha,àlehṿ́sga,,,Sentence_for_entry_0597.m4a,*ᏗᏣᎴᎲᎦ* ᎦᏛᏅ ᏂᎦᏓ *ᏕᏣᎴᏅᎢ.*,*dì:jalé:hv:ga* gadv̀:nv̋ niga̋:da *dé:jale:hnv:’i*,When I say *stand up*‚ everyone *stand up.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏧᎴᏗ,597.6,597,ᏧᎴᏗ,,julehdi,tsu-le-di,julẹhdi,ju:lehdi,verb (v.i.),3rd person singular infinitive,,to get up,,,,,,,,from sitting or from involuntarily assumed prone position,,,,,,,,,,,get up,,,,àdidị́ha,àlehṿ́sga,,,Sentence_for_entry_0597.m4a,*ᏗᏣᎴᎲᎦ* ᎦᏛᏅ ᏂᎦᏓ *ᏕᏣᎴᏅᎢ.*,*dì:jalé:hv:ga* gadv̀:nv̋ niga̋:da *dé:jale:hnv:’i*,When I say *stand up*‚ everyone *stand up.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏓᎵᏆ,598.1,598,ᏓᎵᏆ,,Daligwa,da-li-qua,dạlị́gwa,dalígwa,noun,singular,,Tahlequah,,,,,,,,,,,,,,,,,,,Tahlequah,,,,,,,,Sentence_for_entry_0598.m4a,*ᏓᎵᏆ* ᏣᎳᎩ ᎠᏰᏟ ᎤᏙᏢᏒᎢ ᎣᎦᎳᎰᎻ.,*dalígwa* jalagi aye:hli̋ ù:do:hlv́:sv̋:’i o:klahǒ:mi,*Tahlequah* is the capitol of the Cherokee Nation of Oklahoma.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏓᎵᏰᏑᎴᎠ,599.1,599,ᏓᎵᏰᏑᎴᎠ,,daliyesule’a,da-li-ye-su-le-a,dàlịyêsulé’a,dà:liyê:su:lé:’a,verb (v.t.),3rd person singular,,he/she is taking off his/her gloves,,,,,,,,,,,,,,,,,,,take off,gloves,,,ạlịyèsulo,dàlịyêsulị́’a,,,Sentence_for_entry_0599.m4a,*ᏙᏓᎦᎵᏰᏑᎴᏏ.* ᏂᎯᎾ?,*do:dagáliyé:su:lé:si* nihína,*I am going to take my gloves off.* What about you?,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏕᎦᎵᏰᏑᎴᎠ,599.2,599,ᏕᎦᎵᏰᏑᎴᎠ,,degaliyesule’a,de-ga-li-ye-su-le-a,degạ́lị́yêsulé’a,de:gálíyê:su:lé:’a,verb (v.t.),1st person singular with animate/ inanimate object,,I’m taking off my gloves,,,,,,,,,,,,,,,,,,,take off,gloves,,,ạlịyèsulo,dàlịyêsulị́’a,,,Sentence_for_entry_0599.m4a,*ᏙᏓᎦᎵᏰᏑᎴᏏ.* ᏂᎯᎾ?,*do:dagáliyé:su:lé:si* nihína,*I am going to take my gloves off.* What about you?,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏚᎵᏰᏑᎴᏒᎢ,599.3,599,ᏚᎵᏰᏑᎴᏒᎢ,,duliyesulesv’i,du-li-ye-su-le-sv-i,dùlịyêsulésv̌’i,dù:liyê:su:lé:sv̌:’i,verb (v.t.),3rd person singular non-progressive remote past tense,,he/she took off his/her gloves,,,,,,,,,,,,,,,,,,,take off,gloves,,,ạlịyèsulo,dàlịyêsulị́’a,,,Sentence_for_entry_0599.m4a,*ᏙᏓᎦᎵᏰᏑᎴᏏ.* ᏂᎯᎾ?,*do:dagáliyé:su:lé:si* nihína,*I am going to take my gloves off.* What about you?,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏓᎵᏰᏑᎴᏍᎪᎢ,599.4,599,ᏓᎵᏰᏑᎴᏍᎪᎢ,,daliyesulesgo’i,da-li-ye-su-le-s-go-i,dàlịyêsulésgó’i,dà:liyê:su:lé:sgó:’i,verb (v.t.),3rd person singular present habitual,,he/she takes off his/her gloves,,,,,,,,,,,,,,,,,,,take off,gloves,,,ạlịyèsulo,dàlịyêsulị́’a,,,Sentence_for_entry_0599.m4a,*ᏙᏓᎦᎵᏰᏑᎴᏏ.* ᏂᎯᎾ?,*do:dagáliyé:su:lé:si* nihína,*I am going to take my gloves off.* What about you?,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏔᎵᏰᏑᎳᎩ,599.5,599,ᏔᎵᏰᏑᎳᎩ,,taliyesulagi,ta-li-ye-su-la-gi,tạlị́yèsulạ́gi,talíyè:su:lági,verb (v.t.),imperative with animate/ inanimate direct objects,,take off your gloves!,,,,,,,,,,,,,,,,,,,take off,gloves,,,ạlịyèsulo,dàlịyêsulị́’a,,,Sentence_for_entry_0599.m4a,*ᏙᏓᎦᎵᏰᏑᎴᏏ.* ᏂᎯᎾ?,*do:dagáliyé:su:lé:si* nihína,*I am going to take my gloves off.* What about you?,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏧᎵᏰᏑᎴᏍᏗ,599.6,599,ᏧᎵᏰᏑᎴᏍᏗ,,juliyesulesdi,tsu-li-ye-su-le-s-di,julịyèsǔlêsdi,ju:liyè:sǔ:lê:sdi,verb (v.t.),3rd person singular infinitive,,to take off one’s gloves,,,,,,,,,,,,,,,,,,,take off,gloves,,,ạlịyèsulo,dàlịyêsulị́’a,,,Sentence_for_entry_0599.m4a,*ᏙᏓᎦᎵᏰᏑᎴᏏ.* ᏂᎯᎾ?,*do:dagáliyé:su:lé:si* nihína,*I am going to take my gloves off.* What about you?,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏓᎵᏰᏑᎵᎠ,600.1,600,ᏓᎵᏰᏑᎵᎠ,,daliyesuli’a,da-li-ye-su-li-a,dàlịyêsulị́’a,dà:liyê:su:lí’a,verb (v.t.),3rd person singular,,he/she is putting on his/her gloves,,,,,,,,,,,,,,,,,,,put on,gloves,,,ạlịyèsulo,dàlịyêsulé’a,,,Sentence_for_entry_0600.m4a,*ᏕᎦᎵᏰᏑᎵ* ᏙᏛᎩᎸᏫᏍᏓᏁᎴᏏ,*degá:lyê:su:lí* do:dv:gílvwsda:ne:lé:si,*I am putting on gloves* because I am going to work.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏕᎦᎵᏰᏑᎵᎠ,600.2,600,ᏕᎦᎵᏰᏑᎵᎠ,,degaliyesuli’a,de-ga-li-ye-su-li-a,degạ́lị́yêsulị́’a,de:gálíyê:su:lí’a,verb (v.t.),1st person singular with animate/ inanimate object,,I’m putting on my gloves,,,,,,,,,,,,,,,,,,,put on,gloves,,,ạlịyèsulo,dàlịyêsulé’a,,,Sentence_for_entry_0600.m4a,*ᏕᎦᎵᏰᏑᎵ* ᏙᏛᎩᎸᏫᏍᏓᏁᎴᏏ,*degá:lyê:su:lí* do:dv:gílvwsda:ne:lé:si,*I am putting on gloves* because I am going to work.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏚᎵᏰᏑᎳᏅᎢ,600.3,600,ᏚᎵᏰᏑᎳᏅᎢ,,duliyesulanv’i,du-li-ye-su-la-nv-i,dùlịyêsulânv̌’i,dù:liyê:su:lâ:nv̌:’i,verb (v.t.),3rd person singular non-progressive remote past tense,,he/she put on his/her gloves,,,,,,,,,,,,,,,,,,,put on,gloves,,,ạlịyèsulo,dàlịyêsulé’a,,,Sentence_for_entry_0600.m4a,*ᏕᎦᎵᏰᏑᎵ* ᏙᏛᎩᎸᏫᏍᏓᏁᎴᏏ,*degá:lyê:su:lí* do:dv:gílvwsda:ne:lé:si,*I am putting on gloves* because I am going to work.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏓᎵᏰᏑᎵᏍᎪᎢ,600.4,600,ᏓᎵᏰᏑᎵᏍᎪᎢ,,daliyesulisgo’i,da-li-ye-su-li-s-go-i,dàlịyêsulîsgó’i,dà:liyê:su:lî:sgó:’i,verb (v.t.),3rd person singular present habitual,,he/she puts on his/her gloves,,,,,,,,,,,,,,,,,,,put on,gloves,,,ạlịyèsulo,dàlịyêsulé’a,,,Sentence_for_entry_0600.m4a,*ᏕᎦᎵᏰᏑᎵ* ᏙᏛᎩᎸᏫᏍᏓᏁᎴᏏ,*degá:lyê:su:lí* do:dv:gílvwsda:ne:lé:si,*I am putting on gloves* because I am going to work.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏔᎵᏰᏑᎸᎦ,600.5,600,ᏔᎵᏰᏑᎸᎦ,,taliyesulvga,ta-li-ye-su-lv-ga,tạlị́yèsulv̂ga,talíyè:su:lv̂:ga,verb (v.t.),imperative with animate/ inanimate direct objects,,put on your gloves!,,,,,,,,,,,,,,,,,,,put on,gloves,,,ạlịyèsulo,dàlịyêsulé’a,,,Sentence_for_entry_0600.m4a,*ᏕᎦᎵᏰᏑᎵ* ᏙᏛᎩᎸᏫᏍᏓᏁᎴᏏ,*degá:lyê:su:lí* do:dv:gílvwsda:ne:lé:si,*I am putting on gloves* because I am going to work.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏧᎵᏰᏑᎶᏗ,600.6,600,ᏧᎵᏰᏑᎶᏗ,,juliyesulodi,tsu-li-ye-su-lo-di,julịyèsǔlôdi,ju:liyè:sǔ:lô:di,verb (v.t.),3rd person singular infinitive,,to put on one’s gloves,,,,,,,,,,,,,,,,,,,put on,gloves,,,ạlịyèsulo,dàlịyêsulé’a,,,Sentence_for_entry_0600.m4a,*ᏕᎦᎵᏰᏑᎵ* ᏙᏛᎩᎸᏫᏍᏓᏁᎴᏏ,*degá:lyê:su:lí* do:dv:gílvwsda:ne:lé:si,*I am putting on gloves* because I am going to work.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏓᎵᏲᎩᎠ,601.1,601,ᏓᎵᏲᎩᎠ,,daliyogi’a,da-li-yo-gi-a,dàlǐyógị’a,dà:lǐ:yó:gi’a,verb (v.t.),3rd person singular,,he/she is taking off his/her socks,,,,,,,,,,,,,,,,,,,take off,socks,,,alǐyo,dàlǐyóhịha,dàlǐyósịha,,Sentence_for_entry_0601.m4a,ᏚᎳᏑᎴᏒ ᎠᎴ *ᏚᎵᏲᎩᏒᎢ.*,dù:lâ:su:lé:sv́ ale *dù:lǐ:yó:gì:sv̌:’i*,*He took off his* shoes and *socks.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏕᎦᎵᏲᎩᎠ,601.2,601,ᏕᎦᎵᏲᎩᎠ,,degaliyogi’a,de-ga-li-yo-gi-a,degálǐyógị’a,de:gá:lǐ:yó:gi’a,verb (v.t.),1st person singular with animate/ inanimate object,,I’m taking off my socks,,,,,,,,,,,,,,,,,,,take off,socks,,,alǐyo,dàlǐyóhịha,dàlǐyósịha,,Sentence_for_entry_0601.m4a,ᏚᎳᏑᎴᏒ ᎠᎴ *ᏚᎵᏲᎩᏒᎢ.*,dù:lâ:su:lé:sv́ ale *dù:lǐ:yó:gì:sv̌:’i*,*He took off his* shoes and *socks.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
