verb,person,tense,form,form (JW),notes
hold (in hand) (liquid),Ep,pres,òòji.nhjéha,o²¹ji².nhje³ha²,
hold (in hand) (liquid),2p,pres,ììji.nhjéha,i²¹ji².nhje³ha²,
hold (in hand) (liquid),3p,pres,ààni.nhjéha,a²¹ni².nhje³ha²,
hold (in hand) (liquid),1s,hab,ji.nèèjeehóʔi,ji².ne²¹je²²ho³ʔi²,
hold (in hand) (liquid),2s,hab,hi.nhjeehóʔi,hi².nhje²²ho³ʔi²,
hold (in hand) (liquid),3s,hab,ka.nhjeehóʔi,ka².nhje²²ho³ʔi²,
hold (in hand) (liquid),Id,hab,ììnii.nhjeehóʔi,i²¹ni²².nhje²²ho³ʔi²,
hold (in hand) (liquid),Ed,hab,òòstii.nhjeehóʔi,o²¹sti²².nhje²²ho³ʔi²,
hold (in hand) (liquid),2d,hab,stii.nhjeehóʔi,sti²².nhje²²ho³ʔi²,
hold (in hand) (liquid),Ip,hab,ììtii.nhjeehóʔi,i²¹ti²².nhje²²ho³ʔi²,
hold (in hand) (liquid),Ep,hab,òòjii.nhjeehóʔi,o²¹ji²².nhje²²ho³ʔi²,
hold (in hand) (liquid),2p,hab,ììjii.nhjeehóʔi,i²¹ji²².nhje²²ho³ʔi²,
hold (in hand) (liquid),3p,hab,ààni.nhjeehóʔi,a²¹ni².nhje²²ho³ʔi²,
hold (in hand) (liquid),1s,rempast,ji.nèèjeehvv́ʔi,ji².ne²¹je²²hv²³ʔi²,
hold (in hand) (liquid),2s,rempast,hi.nhjeehvv́ʔi,hi².nhje²²hv²³ʔi²,
hold (in hand) (liquid),3s,rempast,ka.nhjeehvv́ʔi,ka².nhje²²hv²³ʔi²,
hold (in hand) (liquid),Id,rempast,ììni.nhjeehvv́ʔi,i²¹ni².nhje²²hv²³ʔi²,
hold (in hand) (liquid),Ed,rempast,òòsti.nhjeehvv́ʔi,o²¹sti².nhje²²hv²³ʔi²,
hold (in hand) (liquid),2d,rempast,sti.nhjeehvv́ʔi,sti².nhje²²hv²³ʔi²,
hold (in hand) (liquid),Ip,rempast,ììti.nhjeehvv́ʔi,i²¹ti².nhje²²hv²³ʔi²,
hold (in hand) (liquid),Ep,rempast,òòji.nhjeehvv́ʔi,o²¹ji².nhje²²hv²³ʔi²,
hold (in hand) (liquid),2p,rempast,ììji.nhjeehvv́ʔi,i²¹ji².nhje²²hv²³ʔi²,
hold (in hand) (liquid),3p,rempast,ààni.nhjeehvv́ʔi,a²¹ni².nhje²²hv²³ʔi²,
hold (in hand) (liquid),1s,reppast,ji.nèèjeehééʔi,ji².ne²¹je²²he³³ʔi²,
hold (in hand) (liquid),2s,reppast,hi.nhjeehééʔi,hi².nhje²²he³³ʔi²,
hold (in hand) (liquid),3s,reppast,ka.nhjeehééʔi,ka².nhje²²he³³ʔi²,
hold (in hand) (liquid),Id,reppast,ììni.nhjeehééʔi,i²¹ni².nhje²²he³³ʔi²,
hold (in hand) (liquid),Ed,reppast,òòsti.nhjeehééʔi,o²¹sti².nhje²²he³³ʔi²,
hold (in hand) (liquid),2d,reppast,sti.nhjeehééʔi,sti².nhje²²he³³ʔi²,
hold (in hand) (liquid),Ip,reppast,ììti.nhjeehééʔi,i²¹ti².nhje²²he³³ʔi²,
hold (in hand) (liquid),Ep,reppast,òòji.nhjeehééʔi,o²¹ji².nhje²²he³³ʔi²,
hold (in hand) (liquid),2p,reppast,ììji.nhjeehééʔi,i²¹ji².nhje²²he³³ʔi²,
hold (in hand) (liquid),3p,reppast,ààni.nhjeehééʔi,a²¹ni².nhje²²he³³ʔi²,
hold (in hand) (liquid),1s,immpast,---,---,
hold (in hand) (liquid),2s,immpast,---,---,
hold (in hand) (liquid),3s,immpast,---,---,
hold (in hand) (liquid),Id,immpast,---,---,
hold (in hand) (liquid),Ed,immpast,---,---,
hold (in hand) (liquid),2d,immpast,---,---,
hold (in hand) (liquid),Ip,immpast,---,---,
hold (in hand) (liquid),Ep,immpast,---,---,
hold (in hand) (liquid),2p,immpast,---,---,
hold (in hand) (liquid),3p,immpast,---,---,
hold (in hand) (liquid),1s,fut,ji.nèèjeehéésti,ji².ne²¹je²²he³³sti²,
hold (in hand) (liquid),2s,fut,hi.nhjeehéésti,hi².nhje²²he³³sti²,
hold (in hand) (liquid),3s,fut,ka.nhjeehéésti,ka².nhje²²he³³sti²,
hold (in hand) (liquid),Id,fut,ììni.nhjeehéésti,i²¹ni².nhje²²he³³sti²,
hold (in hand) (liquid),Ed,fut,òòsti.nhjeehéésti,o²¹sti².nhje²²he³³sti²,
hold (in hand) (liquid),2d,fut,sti.nhjeehéésti,sti².nhje²²he³³sti²,
hold (in hand) (liquid),Ip,fut,ììti.nhjeehéésti,i²¹ti².nhje²²he³³sti²,
hold (in hand) (liquid),Ep,fut,òòji.nhjeehéésti,o²¹ji².nhje²²he³³sti²,
hold (in hand) (liquid),2p,fut,ììji.nhjeehéésti,i²¹ji².nhje²²he³³sti²,
hold (in hand) (liquid),3p,fut,ààni.nhjeehéésti,a²¹ni².nhje²²he³³sti²,
hold (in hand) (liquid),1s,inf,---,---,
hold (in hand) (liquid),2s,inf,---,---,
hold (in hand) (liquid),3s,inf,---,---,
hold (in hand) (liquid),Id,inf,---,---,
hold (in hand) (liquid),Ed,inf,---,---,
hold (in hand) (liquid),2d,inf,---,---,
hold (in hand) (liquid),Ip,inf,---,---,
hold (in hand) (liquid),Ep,inf,---,---,
hold (in hand) (liquid),2p,inf,---,---,
hold (in hand) (liquid),3p,inf,---,---,
hold (in hand) (liquid),1s,presimp,---,---,
hold (in hand) (liquid),2s,presimp,---,---,
hold (in hand) (liquid),3s,presimp,---,---,
hold (in hand) (liquid),Id,presimp,---,---,
hold (in hand) (liquid),Ed,presimp,---,---,
hold (in hand) (liquid),2d,presimp,---,---,
hold (in hand) (liquid),Ip,presimp,---,---,
hold (in hand) (liquid),Ep,presimp,---,---,
hold (in hand) (liquid),2p,presimp,---,---,
hold (in hand) (liquid),3p,presimp,---,---,
hold (in hand) (liquid),1s,futimp,ji.nèèjeehéésti,ji².ne²¹je²²he³³sti²,
hold (in hand) (liquid),2s,futimp,hi.nhjeehéésti,hi².nhje²²he³³sti²,
hold (in hand) (liquid),3s,futimp,ka.nhjeehéésti,ka².nhje²²he³³sti²,
hold (in hand) (liquid),Id,futimp,ììni.nhjeehéésti,i²¹ni².nhje²²he³³sti²,
hold (in hand) (liquid),Ed,futimp,òòsti.nhjeehéésti,o²¹sti².nhje²²he³³sti²,
hold (in hand) (liquid),2d,futimp,sti.nhjeehéésti,sti².nhje²²he³³sti²,
hold (in hand) (liquid),Ip,futimp,ììti.nhjeehéésti,i²¹ti².nhje²²he³³sti²,
hold (in hand) (liquid),Ep,futimp,òòji.nhjeehéésti,o²¹ji².nhje²²he³³sti²,
hold (in hand) (liquid),2p,futimp,ììji.nhjeehéésti,i²¹ji².nhje²²he³³sti²,
hold (in hand) (liquid),3p,futimp,ààni.nhjeehéésti,a²¹ni².nhje²²he³³sti²,
hold in hand (long),1s,pres,jii.néha,ji²².ne³ha²,
hold in hand (long),2s,pres,hii.néha,hi²².ne³ha²,
hold in hand (long),3s,pres,kaa.néha,ka²².ne³ha²,
hold in hand (long),Id,pres,ììnii.néha,i²¹ni²².ne³ha²,
hold in hand (long),Ed,pres,òòstii.néha,o²¹sti²².ne³ha²,
hold in hand (long),2d,pres,stii.néha,sti²².ne³ha²,
hold in hand (long),Ip,pres,ììtii.néha,i²¹ti²².ne³ha²,
hold in hand (long),Ep,pres,òòjii.néha,o²¹ji²².ne³ha²,
hold in hand (long),2p,pres,ììjii.néha,i²¹ji²².ne³ha²,
hold in hand (long),3p,pres,àànii.néha,a²¹ni²².ne³ha²,
hold in hand (long),1s,hab,jii.neehóóʔi,ji²².ne²²ho³³ʔi²,
hold in hand (long),2s,hab,hii.neehóóʔi,hi²².ne²²ho³³ʔi²,
hold in hand (long),3s,hab,kaa.neehóóʔi,ka²².ne²²ho³³ʔi²,
hold in hand (long),Id,hab,ììnii.neehóóʔi,i²¹ni²².ne²²ho³³ʔi²,
hold in hand (long),Ed,hab,òòstii.neehóóʔi,o²¹sti²².ne²²ho³³ʔi²,
hold in hand (long),2d,hab,stii.neehóóʔi,sti²².ne²²ho³³ʔi²,
hold in hand (long),Ip,hab,ììtii.neehóóʔi,i²¹ti²².ne²²ho³³ʔi²,
hold in hand (long),Ep,hab,òòjii.neehóóʔi,o²¹ji²².ne²²ho³³ʔi²,
hold in hand (long),2p,hab,ììjii.neehóóʔi,i²¹ji²².ne²²ho³³ʔi²,
hold in hand (long),3p,hab,àànii.neehóóʔi,a²¹ni²².ne²²ho³³ʔi²,
hold in hand (long),1s,rempast,jii.nehvv́ʔi,ji²².ne²hv²³ʔi²,
hold in hand (long),2s,rempast,hii.nehvv́ʔi,hi²².ne²hv²³ʔi²,
hold in hand (long),3s,rempast,kaa.nehvv́ʔi,ka²².ne²hv²³ʔi²,
hold in hand (long),Id,rempast,ììnii.nehvv́ʔi,i²¹ni²².ne²hv²³ʔi²,
hold in hand (long),Ed,rempast,òòstii.nehvv́ʔi,o²¹sti²².ne²hv²³ʔi²,
hold in hand (long),2d,rempast,stii.nehvv́ʔi,sti²².ne²hv²³ʔi²,
hold in hand (long),Ip,rempast,ììtii.nehvv́ʔi,i²¹ti²².ne²hv²³ʔi²,
hold in hand (long),Ep,rempast,òòjii.nehvv́ʔi,o²¹ji²².ne²hv²³ʔi²,
hold in hand (long),2p,rempast,ììjii.nehvv́ʔi,i²¹ji²².ne²hv²³ʔi²,
hold in hand (long),3p,rempast,àànii.nehvv́ʔi,a²¹ni²².ne²hv²³ʔi²,
hold in hand (long),1s,reppast,jii.nehééʔi,ji²².ne²he³³ʔi²,
hold in hand (long),2s,reppast,hii.nehééʔi,hi²².ne²he³³ʔi²,
hold in hand (long),3s,reppast,kaa.nehééʔi,ka²².ne²he³³ʔi²,
hold in hand (long),Id,reppast,ììnii.nehééʔi,i²¹ni²².ne²he³³ʔi²,
hold in hand (long),Ed,reppast,òòstii.nehééʔi,o²¹sti²².ne²he³³ʔi²,
hold in hand (long),2d,reppast,stii.nehééʔi,sti²².ne²he³³ʔi²,
hold in hand (long),Ip,reppast,ììtii.nehééʔi,i²¹ti²².ne²he³³ʔi²,
hold in hand (long),Ep,reppast,òòjii.nehééʔi,o²¹ji²².ne²he³³ʔi²,
hold in hand (long),2p,reppast,ììjii.nehééʔi,i²¹ji²².ne²he³³ʔi²,
hold in hand (long),3p,reppast,àànii.nehééʔi,a²¹ni²².ne²he³³ʔi²,
hold in hand (long),1s,immpast,---,---,
hold in hand (long),2s,immpast,---,---,
hold in hand (long),3s,immpast,---,---,
hold in hand (long),Id,immpast,---,---,
hold in hand (long),Ed,immpast,---,---,
hold in hand (long),2d,immpast,---,---,
hold in hand (long),Ip,immpast,---,---,
hold in hand (long),Ep,immpast,---,---,
hold in hand (long),2p,immpast,---,---,
hold in hand (long),3p,immpast,---,---,
hold in hand (long),1s,fut,jii.nehéésti,ji²².ne²he³³sti²,
hold in hand (long),2s,fut,hii.nehéésti,hi²².ne²he³³sti²,
hold in hand (long),3s,fut,kaa.nehéésti,ka²².ne²he³³sti²,
hold in hand (long),Id,fut,ììnii.nehéésti,i²¹ni²².ne²he³³sti²,
hold in hand (long),Ed,fut,òòstii.nehéésti,o²¹sti²².ne²he³³sti²,
hold in hand (long),2d,fut,stii.nehéésti,sti²².ne²he³³sti²,
hold in hand (long),Ip,fut,ììtii.nehéésti,i²¹ti²².ne²he³³sti²,
hold in hand (long),Ep,fut,òòjii.nehéésti,o²¹ji²².ne²he³³sti²,
hold in hand (long),2p,fut,ììjii.nehéésti,i²¹ji²².ne²he³³sti²,
hold in hand (long),3p,fut,àànii.nehéésti,a²¹ni²².ne²he³³sti²,
hold in hand (long),1s,inf,---,---,
hold in hand (long),2s,inf,---,---,
hold in hand (long),3s,inf,---,---,
hold in hand (long),Id,inf,---,---,
hold in hand (long),Ed,inf,---,---,
hold in hand (long),2d,inf,---,---,
hold in hand (long),Ip,inf,---,---,
hold in hand (long),Ep,inf,---,---,
hold in hand (long),2p,inf,---,---,
hold in hand (long),3p,inf,---,---,
hold in hand (long),1s,presimp,---,---,
hold in hand (long),2s,presimp,---,---,
hold in hand (long),3s,presimp,---,---,
hold in hand (long),Id,presimp,---,---,
hold in hand (long),Ed,presimp,---,---,
hold in hand (long),2d,presimp,---,---,
hold in hand (long),Ip,presimp,---,---,
hold in hand (long),Ep,presimp,---,---,
hold in hand (long),2p,presimp,---,---,
hold in hand (long),3p,presimp,---,---,
hold in hand (long),1s,futimp,jii.nehéésti,ji²².ne²he³³sti²,
hold in hand (long),2s,futimp,hii.neehéésti,hi²².ne²²he³³sti²,
hold in hand (long),3s,futimp,kaa.nehéésti,ka²².ne²he³³sti²,
hold in hand (long),Id,futimp,ììnii.nehéésti,i²¹ni²².ne²he³³sti²,
hold in hand (long),Ed,futimp,òòstii.nehéésti,o²¹sti²².ne²he³³sti²,
hold in hand (long),2d,futimp,stii.nehéésti,sti²².ne²he³³sti²,
hold in hand (long),Ip,futimp,ììtii.nehéésti,i²¹ti²².ne²he³³sti²,
hold in hand (long),Ep,futimp,òòjii.nehéésti,o²¹ji²².ne²he³³sti²,
hold in hand (long),2p,futimp,ììjii.nehéésti,i²¹ji²².ne²he³³sti²,
hold in hand (long),3p,futimp,àànii.nehéésti,a²¹ni²².ne²he³³sti²,
"hold in hand, have with (neutral)",1s,pres,jìì.yéha,ji²¹.ye³ha²,
"hold in hand, have with (neutral)",2s,pres,hi.hyééha,hi².hye³³ha²,
"hold in hand, have with (neutral)",3s,pres,àà.hyééha,a²¹.hye³³ha²,
"hold in hand, have with (neutral)",Id,pres,ììnii.hyééha,i²¹ni²².hye³³ha²,
"hold in hand, have with (neutral)",Ed,pres,òòstii.hyééha,o²¹sti²².hye³³ha²,
"hold in hand, have with (neutral)",2d,pres,stii.hyééha,sti²².hye³³ha²,
"hold in hand, have with (neutral)",Ip,pres,ììtii.hyééha,i²¹ti²².hye³³ha²,
"hold in hand, have with (neutral)",Ep,pres,òòjii.hyééha,o²¹ji²².hye³³ha²,
"hold in hand, have with (neutral)",2p,pres,ììjii.hyééha,i²¹ji²².hye³³ha²,
"hold in hand, have with (neutral)",3p,pres,àànii.hyééha,a²¹ni²².hye³³ha²,
"hold in hand, have with (neutral)",1s,hab,jìì.yeehóóʔi,ji²¹.ye²²ho³³ʔi²,
"hold in hand, have with (neutral)",2s,hab,hi.hyeehóóʔi,hi².hye²²ho³³ʔi²,
"hold in hand, have with (neutral)",3s,hab,àà.hyeehóóʔi,a²¹.hye²²ho³³ʔi²,
"hold in hand, have with (neutral)",Id,hab,ììnii.hyeehóóʔi,i²¹ni²².hye²²ho³³ʔi²,
"hold in hand, have with (neutral)",Ed,hab,òòstii.hyeehóóʔi,o²¹sti²².hye²²ho³³ʔi²,
"hold in hand, have with (neutral)",2d,hab,stii.hyeehóóʔi,sti²².hye²²ho³³ʔi²,
"hold in hand, have with (neutral)",Ip,hab,ììtii.hyeehóóʔi,i²¹ti²².hye²²ho³³ʔi²,
"hold in hand, have with (neutral)",Ep,hab,òòjii.hyeehóóʔi,o²¹ji²².hye²²ho³³ʔi²,
"hold in hand, have with (neutral)",2p,hab,ììjii.hyeehóóʔi,i²¹ji²².hye²²ho³³ʔi²,
"hold in hand, have with (neutral)",3p,hab,àànii.hyeehóóʔi,a²¹ni²².hye²²ho³³ʔi²,
"hold in hand, have with (neutral)",1s,rempast,jì.ʔyeehvv́ʔi,ji¹.ʔye²²hv²³ʔi²,
"hold in hand, have with (neutral)",2s,rempast,hi.hyeehvv́ʔi,hi².hye²²hv²³ʔi²,
"hold in hand, have with (neutral)",3s,rempast,àà.hyeehvv́ʔi,a²¹.hye²²hv²³ʔi²,
"hold in hand, have with (neutral)",Id,rempast,ììnii.hyeehvv́ʔi,i²¹ni²².hye²²hv²³ʔi²,
"hold in hand, have with (neutral)",Ed,rempast,òòstii.hyeehvv́ʔi,o²¹sti²².hye²²hv²³ʔi²,
"hold in hand, have with (neutral)",2d,rempast,stii.hyeehvv́ʔi,sti²².hye²²hv²³ʔi²,
"hold in hand, have with (neutral)",Ip,rempast,ììtii.hyeehvv́ʔi,i²¹ti²².hye²²hv²³ʔi²,
"hold in hand, have with (neutral)",Ep,rempast,òòjii.hyeehvv́ʔi,o²¹ji²².hye²²hv²³ʔi²,
"hold in hand, have with (neutral)",2p,rempast,ììjii.hyeehvv́ʔi,i²¹ji²².hye²²hv²³ʔi²,
"hold in hand, have with (neutral)",3p,rempast,àànii.hyeehvv́ʔi,a²¹ni²².hye²²hv²³ʔi²,
"hold in hand, have with (neutral)",1s,reppast,jì.ʔyeehééʔi,ji¹.ʔye²²he³³ʔi²,
"hold in hand, have with (neutral)",2s,reppast,hi.hyeehééʔi,hi².hye²²he³³ʔi²,
"hold in hand, have with (neutral)",3s,reppast,àà.hyeehééʔi,a²¹.hye²²he³³ʔi²,
"hold in hand, have with (neutral)",Id,reppast,ììnii.hyeehééʔi,i²¹ni²².hye²²he³³ʔi²,
"hold in hand, have with (neutral)",Ed,reppast,òòstii.hyeehééʔi,o²¹sti²².hye²²he³³ʔi²,
"hold in hand, have with (neutral)",2d,reppast,stii.hyeehééʔi,sti²².hye²²he³³ʔi²,
"hold in hand, have with (neutral)",Ip,reppast,ììtii.hyeehééʔi,i²¹ti²².hye²²he³³ʔi²,
"hold in hand, have with (neutral)",Ep,reppast,òòjii.hyeehééʔi,o²¹ji²².hye²²he³³ʔi²,
"hold in hand, have with (neutral)",2p,reppast,ììjii.hyeehééʔi,i²¹ji²².hye²²he³³ʔi²,
"hold in hand, have with (neutral)",3p,reppast,àànii.hyeehééʔi,a²¹ni²².hye²²he³³ʔi²,
"hold in hand, have with (neutral)",1s,immpast,---,---,
"hold in hand, have with (neutral)",2s,immpast,---,---,
"hold in hand, have with (neutral)",3s,immpast,---,---,
"hold in hand, have with (neutral)",Id,immpast,---,---,
"hold in hand, have with (neutral)",Ed,immpast,---,---,
"hold in hand, have with (neutral)",2d,immpast,---,---,
"hold in hand, have with (neutral)",Ip,immpast,---,---,
"hold in hand, have with (neutral)",Ep,immpast,---,---,
"hold in hand, have with (neutral)",2p,immpast,---,---,
"hold in hand, have with (neutral)",3p,immpast,---,---,
"hold in hand, have with (neutral)",1s,fut,jìì.yeehéésti,ji²¹.ye²²he³³sti²,
"hold in hand, have with (neutral)",2s,fut,hi.hyeehéésti,hi².hye²²he³³sti²,
"hold in hand, have with (neutral)",3s,fut,àà.hyeehéésti,a²¹.hye²²he³³sti²,
"hold in hand, have with (neutral)",Id,fut,ììnii.hyeehéésti,i²¹ni²².hye²²he³³sti²,
"hold in hand, have with (neutral)",Ed,fut,òòstii.hyeehéésti,o²¹sti²².hye²²he³³sti²,
"hold in hand, have with (neutral)",2d,fut,stii.hyeehéésti,sti²².hye²²he³³sti²,
"hold in hand, have with (neutral)",Ip,fut,ììtii.hyeehéésti,i²¹ti²².hye²²he³³sti²,
"hold in hand, have with (neutral)",Ep,fut,òòjii.hyeehéésti,o²¹ji²².hye²²he³³sti²,
"hold in hand, have with (neutral)",2p,fut,ììjii.hyeehéésti,i²¹ji²².hye²²he³³sti²,
"hold in hand, have with (neutral)",3p,fut,àànii.hyeehéésti,a²¹ni²².hye²²he³³sti²,
"hold in hand, have with (neutral)",1s,inf,---,---,
"hold in hand, have with (neutral)",2s,inf,---,---,
"hold in hand, have with (neutral)",3s,inf,---,---,
"hold in hand, have with (neutral)",Id,inf,---,---,
"hold in hand, have with (neutral)",Ed,inf,---,---,
"hold in hand, have with (neutral)",2d,inf,---,---,
"hold in hand, have with (neutral)",Ip,inf,---,---,
"hold in hand, have with (neutral)",Ep,inf,---,---,
"hold in hand, have with (neutral)",2p,inf,---,---,
"hold in hand, have with (neutral)",3p,inf,---,---,
"hold in hand, have with (neutral)",1s,presimp,---,---,
"hold in hand, have with (neutral)",2s,presimp,---,---,
"hold in hand, have with (neutral)",3s,presimp,---,---,
"hold in hand, have with (neutral)",Id,presimp,---,---,
"hold in hand, have with (neutral)",Ed,presimp,---,---,
"hold in hand, have with (neutral)",2d,presimp,---,---,
"hold in hand, have with (neutral)",Ip,presimp,---,---,
"hold in hand, have with (neutral)",Ep,presimp,---,---,
"hold in hand, have with (neutral)",2p,presimp,---,---,
"hold in hand, have with (neutral)",3p,presimp,---,---,
"hold in hand, have with (neutral)",1s,futimp,jìì.yeehéésti,ji²¹.ye²²he³³sti²,
"hold in hand, have with (neutral)",2s,futimp,hi.hyeehéésti,hi².hye²²he³³sti²,
"hold in hand, have with (neutral)",3s,futimp,àà.hyeehéésti,a²¹.hye²²he³³sti²,
"hold in hand, have with (neutral)",Id,futimp,ììnii.hyeehéésti,i²¹ni²².hye²²he³³sti²,
"hold in hand, have with (neutral)",Ed,futimp,òòstii.hyeehéésti,o²¹sti²².hye²²he³³sti²,
"hold in hand, have with (neutral)",2d,futimp,stii.hyeehéésti,sti²².hye²²he³³sti²,
"hold in hand, have with (neutral)",Ip,futimp,ììtii.hyeehéésti,i²¹ti²².hye²²he³³sti²,
"hold in hand, have with (neutral)",Ep,futimp,òòjii.hyeehéésti,o²¹ji²².hye²²he³³sti²,
"hold in hand, have with (neutral)",2p,futimp,ììjii.hyeehéésti,i²¹ji²².hye²²he³³sti²,
"hold in hand, have with (neutral)",3p,futimp,àànii.hyeehéésti,a²¹ni²².hye²²he³³sti²,
kick (animate),1s,pres,jiiy.ààyvhthééʔa,ji²²y.a²¹yv²hthe³³ʔa²,
kick (animate),2s,pres,hiiy.ààyvhthééʔa,hi²²y.a²¹yv²hthe³³ʔa²,
kick (animate),3s,pres,àà.hyvhthééʔa,a²¹.hyv²hthe³³ʔa²,
kick (animate),Id,pres,èèn.ààyvhthééʔa,e²¹n.a²¹yv²hthe³³ʔa²,
kick (animate),Ed,pres,òòst.ààyvhthééʔa,o²¹st.a²¹yv²hthe³³ʔa²,
kick (animate),2d,pres,èèst.ààyvhthééʔa,e²¹st.a²¹yv²hthe³³ʔa²,
kick (animate),Ip,pres,èèt.ààyvhthééʔa,e²¹t.a²¹yv²hthe³³ʔa²,
kick (animate),Ep,pres,òòj.ààyvhthééʔa,o²¹j.a²¹yv²hthe³³ʔa²,
kick (animate),2p,pres,èèj.ààyvhthééʔa,e²¹j.a²¹yv²hthe³³ʔa²,
kick (animate),3p,pres,ààn.aahyvhthééʔa,a²¹n.a²²hyv²hthe³³ʔa²,
kick (animate),1s,hab,jiiy.ààyvhthééskóóʔi,ji²²y.a²¹yv²hthe³³sko³³ʔi²,
kick (animate),2s,hab,hiiy.ààyvhthééskóóʔi,hi²²y.a²¹yv²hthe³³sko³³ʔi²,
kick (animate),3s,hab,àà.hyvhthééskóóʔi,a²¹.hyv²hthe³³sko³³ʔi²,
kick (animate),Id,hab,èèn.ààyvhthééskóóʔi,e²¹n.a²¹yv²hthe³³sko³³ʔi²,
kick (animate),Ed,hab,òòst.ààyvhthééskóóʔi,o²¹st.a²¹yv²hthe³³sko³³ʔi²,
kick (animate),2d,hab,èèst.ààyvhthééskóóʔi,e²¹st.a²¹yv²hthe³³sko³³ʔi²,
kick (animate),Ip,hab,èèt.ààyvhthééskóóʔi,e²¹t.a²¹yv²hthe³³sko³³ʔi²,
kick (animate),Ep,hab,òòj.ààyvhthééskóóʔi,o²¹j.a²¹yv²hthe³³sko³³ʔi²,
kick (animate),2p,hab,èèj.ààyvhthééskóóʔi,e²¹j.a²¹yv²hthe³³sko³³ʔi²,
kick (animate),3p,hab,ààn.aahyvhthééskóóʔi,a²¹n.a²²hyv²hthe³³sko³³ʔi²,
kick (animate),1s,rempast,jiiy.ààyvhthéésvv́ʔi,ji²²y.a²¹yv²hthe³³sv²³ʔi²,
kick (animate),2s,rempast,hiiy.ààyvhthéésvv́ʔi,hi²²y.a²¹yv²hthe³³sv²³ʔi²,
kick (animate),3s,rempast,ùù.hyvhthéésvv́ʔi,u²¹.hyv²hthe³³sv²³ʔi²,
kick (animate),Id,rempast,èèn.ààyvhthéésvv́ʔi,e²¹n.a²¹yv²hthe³³sv²³ʔi²,
kick (animate),Ed,rempast,òòst.ààyvhthéésvv́ʔi,o²¹st.a²¹yv²hthe³³sv²³ʔi²,
kick (animate),2d,rempast,èèst.ààyvhthéésvv́ʔi,e²¹st.a²¹yv²hthe³³sv²³ʔi²,
kick (animate),Ip,rempast,èèt.ààyvhthéésvv́ʔi,e²¹t.a²¹yv²hthe³³sv²³ʔi²,
kick (animate),Ep,rempast,òòj.ààyvhthéésvv́ʔi,o²¹j.a²¹yv²hthe³³sv²³ʔi²,
kick (animate),2p,rempast,èèj.ààyvhthéésvv́ʔi,e²¹j.a²¹yv²hthe³³sv²³ʔi²,
kick (animate),3p,rempast,ùùn.aahyvhthéésvv́ʔi,u²¹n.a²²hyv²hthe³³sv²³ʔi²,
kick (animate),1s,reppast,jiiy.ààyvhthéésééʔi,ji²²y.a²¹yv²hthe³³se³³ʔi²,
kick (animate),2s,reppast,hiiy.ààyvhthéésééʔi,hi²²y.a²¹yv²hthe³³se³³ʔi²,
kick (animate),3s,reppast,ùù.hyvhthéésééʔi,u²¹.hyv²hthe³³se³³ʔi²,
kick (animate),Id,reppast,èèn.ààyvhthéésééʔi,e²¹n.a²¹yv²hthe³³se³³ʔi²,
kick (animate),Ed,reppast,òòst.ààyvhthéésééʔi,o²¹st.a²¹yv²hthe³³se³³ʔi²,
kick (animate),2d,reppast,èèst.ààyvhthéésééʔi,e²¹st.a²¹yv²hthe³³se³³ʔi²,
kick (animate),Ip,reppast,èèt.ààyvhthéésééʔi,e²¹t.a²¹yv²hthe³³se³³ʔi²,
kick (animate),Ep,reppast,òòj.ààyvhthéésééʔi,o²¹j.a²¹yv²hthe³³se³³ʔi²,
kick (animate),2p,reppast,èèj.ààyvhthéésééʔi,e²¹j.a²¹yv²hthe³³se³³ʔi²,
kick (animate),3p,reppast,ùùn.aahyvhthéésééʔi,u²¹n.a²²hyv²hthe³³se³³ʔi²,
kick (animate),1s,immpast,jiiy.ààyvhtháki,ji²²y.a²¹yv²htha³ki²,
kick (animate),2s,immpast,hiiy.ààyvhtháki,hi²²y.a²¹yv²htha³ki²,
kick (animate),3s,immpast,àà.hyvhtháki,a²¹.hyv²htha³ki²,
kick (animate),Id,immpast,èèn.ààyvhtháki,e²¹n.a²¹yv²htha³ki²,
kick (animate),Ed,immpast,òòst.ààyvhtháki,o²¹st.a²¹yv²htha³ki²,
kick (animate),2d,immpast,èèst.ààyvhtháki,e²¹st.a²¹yv²htha³ki²,
kick (animate),Ip,immpast,èèt.ààyvhtháki,e²¹t.a²¹yv²htha³ki²,
kick (animate),Ep,immpast,òòj.ààyvhtháki,o²¹j.a²¹yv²htha³ki²,
kick (animate),2p,immpast,èèj.ààyvhtháki,e²¹j.a²¹yv²htha³ki²,
kick (animate),3p,immpast,ààn.aahyvhtháki,a²¹n.a²²hyv²htha³ki²,
kick (animate),1s,fut,tajiíy.áayvhthéési,ta²ji²³y.a³²yv²hthe³³si²,
kick (animate),2s,fut,thiiy.áayvhthéési,thi²²y.a³²yv²hthe³³si²,
kick (animate),3s,fut,tvv.hyvhthèèsi,tv²².hyv²hthe²¹si²,
kick (animate),Id,fut,tayeén.áayvhthéési,ta²ye²³n.a³²yv²hthe³³si²,
kick (animate),Ed,fut,tayoóst.áayvhthéési,ta²yo²³st.a³²yv²hthe³³si²,
kick (animate),2d,fut,tayeést.áayvhthéési,ta²ye²³st.a³²yv²hthe³³si²,
kick (animate),Ip,fut,tayeét.áayvhthéési,ta²ye²³t.a³²yv²hthe³³si²,
kick (animate),Ep,fut,tayoój.áayvhthéési,ta²yo²³j.a³²yv²hthe³³si²,
