verb,person,tense,form,form (JW),notes
bend (something),Id,inf,kinii.hyvhkwitv̀v̀ti,ki²ni²².hyv²hkwi²tv²¹ti²,
bend (something),Ed,inf,ookini.hyvhkwitv̀v̀ti,o²²ki²ni².hyv²hkwi²tv²¹ti²,
bend (something),2d,inf,stii.hyvhkwitv̀v̀ti,sti²².hyv²hkwi²tv²¹ti²,
bend (something),Ip,inf,ììkii.hyvhkwitv̀v̀ti,i²¹ki²².hyv²hkwi²tv²¹ti²,
bend (something),Ep,inf,ookii.hyvhkwitv̀v̀ti,o²²ki²².hyv²hkwi²tv²¹ti²,
bend (something),2p,inf,ììjìì.hyvhkwitv̀v̀ti,i²¹ji²¹.hyv²hkwi²tv²¹ti²,
bend (something),3p,inf,unii.hyvhkwitv̀v̀ti,u²ni²².hyv²hkwi²tv²¹ti²,
bend (something),1s,presimp,jìì.yvvhkwitv́ʔv̀ka,ji²¹.yv²²hkwi²tv³ʔv¹ka²,
bend (something),2s,presimp,hi.hyvvkwitvʔv̀ka,hi².hyv²²kwi²tv²ʔv¹ka²,
bend (something),3s,presimp,wa.hyv́v́kwitvʔv̀ka,wa².hyv³³kwi²tv²ʔv¹ka²,
bend (something),Id,presimp,ììnií.hyv́v́kwitvʔv̀ka,i²¹ni²³.hyv³³kwi²tv²ʔv¹ka²,
bend (something),Ed,presimp,woostíí.hyvvkwitvʔv̀ka,wo²²sti³³.hyv²²kwi²tv²ʔv¹ka²,
bend (something),2d,presimp,stii.hyvvkwitvʔv̀ka,sti²².hyv²²kwi²tv²ʔv¹ka²,
bend (something),Ip,presimp,ììtií.hyv́v́kwitvʔv̀ka,i²¹ti²³.hyv³³kwi²tv²ʔv¹ka²,
bend (something),Ep,presimp,woojíí.hyvvkwitvʔv̀ka,wo²²ji³³.hyv²²kwi²tv²ʔv¹ka²,
bend (something),2p,presimp,ììjii.hyvvkwitvʔv̀ka,i²¹ji²².hyv²²kwi²tv²ʔv¹ka²,
bend (something),3p,presimp,waníí.hyvvkwitvʔv̀ka,wa²ni³³.hyv²²kwi²tv²ʔv¹ka²,
bend (something),1s,futimp,jìì.yvvhkwitv́vnvvʔi,ji²¹.yv²²hkwi²tv³²nv²²ʔi²,
bend (something),2s,futimp,hi.hyvvhkwítv́vnvvʔi,hi².hyv²²hkwi³tv³²nv²²ʔi²,
bend (something),3s,futimp,àà.hyvvhkwitv́vnvvʔi,a²¹.hyv²²hkwi²tv³²nv²²ʔi²,
bend (something),Id,futimp,ììnii.hyvvhkwitv́vnvvʔi,i²¹ni²².hyv²²hkwi²tv³²nv²²ʔi²,
bend (something),Ed,futimp,òòstii.hyvvhkwitv́vnvvʔi,o²¹sti²².hyv²²hkwi²tv³²nv²²ʔi²,
bend (something),2d,futimp,stii.hyvvhkwitv́vnvvʔi,sti²².hyv²²hkwi²tv³²nv²²ʔi²,
bend (something),Ip,futimp,ììtii.hyvvhkwitv́vnvvʔi,i²¹ti²².hyv²²hkwi²tv³²nv²²ʔi²,
bend (something),Ep,futimp,òòjii.hyvvhkwitv́vnvvʔi,o²¹ji²².hyv²²hkwi²tv³²nv²²ʔi²,
bend (something),2p,futimp,ììjii.hyvvhkwitv́vnvvʔi,i²¹ji²².hyv²²hkwi²tv³²nv²²ʔi²,
bend (something),3p,futimp,àànii.hyvvhkwitv́vnvvʔi,a²¹ni²².hyv²²hkwi²tv³²nv²²ʔi²,
bring (animate) (by carrying in hand/hands),1s,pres,jì.ʔnoóhíha,ji¹.ʔno²³hi³ha²,
bring (animate) (by carrying in hand/hands),2s,pres,hì.ʔnoóhíha,hi¹.ʔno²³hi³ha²,
bring (animate) (by carrying in hand/hands),3s,pres,ka.hnoóhíha,ka².hno²³hi³ha²,
bring (animate) (by carrying in hand/hands),Id,pres,èènì.ʔnoóhíha,e²¹ni¹.ʔno²³hi³ha²,
bring (animate) (by carrying in hand/hands),Ed,pres,òòstì.ʔnoóhíha,o²¹sti¹.ʔno²³hi³ha²,
bring (animate) (by carrying in hand/hands),2d,pres,èèstì.ʔnoóhíha,e²¹sti¹.ʔno²³hi³ha²,
bring (animate) (by carrying in hand/hands),Ip,pres,èètì.ʔnoóhíha,e²¹ti¹.ʔno²³hi³ha²,
bring (animate) (by carrying in hand/hands),Ep,pres,òòjì.ʔnoóhíha,o²¹ji¹.ʔno²³hi³ha²,
bring (animate) (by carrying in hand/hands),2p,pres,èèjì.ʔnoóhíha,e²¹ji¹.ʔno²³hi³ha²,
bring (animate) (by carrying in hand/hands),3p,pres,àànii.hnoóhíha,a²¹ni²².hno²³hi³ha²,
bring (animate) (by carrying in hand/hands),1s,hab,jìì.ʔnoohíhóóʔi,ji²¹.ʔno²²hi³ho³³ʔi²,
bring (animate) (by carrying in hand/hands),2s,hab,hìì.ʔnoohíhóóʔi,hi²¹.ʔno²²hi³ho³³ʔi²,
bring (animate) (by carrying in hand/hands),3s,hab,ka.hnoohíhóóʔi,ka².hno²²hi³ho³³ʔi²,
bring (animate) (by carrying in hand/hands),Id,hab,èènìì.noohíhóóʔi,e²¹ni²¹.no²²hi³ho³³ʔi²,
bring (animate) (by carrying in hand/hands),Ed,hab,òòstìì.noohíhóóʔi,o²¹sti²¹.no²²hi³ho³³ʔi²,
bring (animate) (by carrying in hand/hands),2d,hab,èèstìì.noohíhóóʔi,e²¹sti²¹.no²²hi³ho³³ʔi²,
bring (animate) (by carrying in hand/hands),Ip,hab,èètìì.noohíhóóʔi,e²¹ti²¹.no²²hi³ho³³ʔi²,
bring (animate) (by carrying in hand/hands),Ep,hab,òòjìì.noohíhóóʔi,o²¹ji²¹.no²²hi³ho³³ʔi²,
bring (animate) (by carrying in hand/hands),2p,hab,èèjìì.noohíhóóʔi,e²¹ji²¹.no²²hi³ho³³ʔi²,
bring (animate) (by carrying in hand/hands),3p,hab,àànii.hnoohíhóóʔi,a²¹ni²².hno²²hi³ho³³ʔi²,
bring (animate) (by carrying in hand/hands),1s,rempast,jì.ʔnoóhlv́v́ʔi,ji¹.ʔno²³hlv³³ʔi²,
bring (animate) (by carrying in hand/hands),2s,rempast,hì.ʔnoóhlv́v́ʔi,hi¹.ʔno²³hlv³³ʔi²,
bring (animate) (by carrying in hand/hands),3s,rempast,ùù.noóhlv́v́ʔi,u²¹.no²³hlv³³ʔi²,
bring (animate) (by carrying in hand/hands),Id,rempast,èènì.ʔnoóhlv́v́ʔi,e²¹ni¹.ʔno²³hlv³³ʔi²,
bring (animate) (by carrying in hand/hands),Ed,rempast,òòstì.ʔnoóhlv́v́ʔi,o²¹sti¹.ʔno²³hlv³³ʔi²,
